GEOID,DISTRICT
370210001.1,2
370210053.1,2
370210068.1,2
370210022.2,2
370210027.2,2
370210058.1,2
370210059.1,2
37191000004,7
37191000026,7
37191002530,7
3706100CALY,7
37191000028,7
37191000002,7
370210066.1,2
37143BETHEL,4
370210044.1,2
370210024.1,2
370210048.1,2
370210038.3,2
370210036.1,2
37111FORT-1,2
37111FORT-2,2
370210060.2,2
37035000019,5
37035000006,5
37035000002,5
370230029-B,5
370230029-A,5
3710900NB35,5
37035000030,5
37035000014,5
37035000032,5
37035000001,5
370210002.1,2
37035000017,5
37035000026,5
37035000024,5
37023000012,5
37023000013,5
37023000015,5
371350000SM,14
371350000CP,14
37063000044,14
371350000HE,14
37135000ENO,14
37063000045,3
37063000050,14
37153000004,12
370210011.1,2
370210045.1,2
370210039.2,2
370210039.3,2
370210037.1,2
370210003.1,2
370210054.2,2
370210018.2,2
370890000FL,2
370210052.1,2
37035000016,5
37035000029,5
37035000012,5
37035000023,5
371050000D1,14
371050000D2,14
371050000C1,14
371050000C2,14
371350000WD,14
37135000WDS,14
37153000009,12
371050000E1,14
371050000E2,14
3708500PR23,14
3708500PR26,8
3708500PR24,8
3710100PR14,8
3708500PR25,8
3708500PR29,8
370210047.1,2
37143PARKVI,4
37143NEW-HO,4
3706100WOLF,7
370210025.1,2
370210008.3,2
370210060.4,2
370210008.2,2
370210034.1,2
3706100MAGN,6
3716300ROWA,6
3716300INGO,6
3706100BEUL,6
37107000PH2,6
3706100KENA,6
37135000CS1,14
37153000008,12
37165006-89,12
37153000005,12
37165001-16,12
37155000019,12
3703100NPT2,4
3703100NPT1,4
3703100IBSP,4
3703100MHD2,4
3703100ABCH,4
3703100MHD1,4
3708500PR07,12
3706100WALL,6
3706100ROSE,6
3706100WARS,6
3716300TURK,6
3706100FAIS,6
3716300GIDD,7
3706100GLIS,6
37165000004,12
37165000003,12
37017000P80,12
37017000P45,6
3701700P202,12
37017000P55,6
3713300BC21,6
3713300ML23,4
37103000P07,4
3713300NR02,6
37143NICANO,4
37035000013,5
371350000NS,14
371350000WW,14
37019000016,6
370190004B2,6
3701900004A,6
37129000W03,6
37129000W26,6
37019000021,6
37019000007,6
37019000017,6
37019000019,6
37019000008,6
37019000020,6
37019000015,6
37153000002,12
37153000001,12
37153000013,14
37165002-25,12
371350000KM,14
37035000031,5
37035000008,5
371350000LC,14
37191000013,7
37191000007,7
37191000001,7
37191001920,7
37191000029,7
37191000012,7
37057000062,13
37057000066,15
37123000LIT,14
37055000KDH,4
370550000EL,4
3705500AVON,4
3705500KTHK,4
3705500SOSH,4
370210023.3,2
370210021.1,2
370210023.2,2
370210014.3,2
370210042.1,2
370210067.1,2
370210012.1,2
370210033.3,2
37119000202,11
37119000206,11
37119000201,10
37119000097,9
37119000114,10
37119000134,9
37119000087,10
371190223.1,9
37119000011,9
37119000019,9
37119000227,10
37119000208,9
370970DV1-B,9
370970DV2-B,11
371190139.1,10
37119000236,10
371350000GB,14
371350000OG,14
3700100009S,14
371350000WH,14
3713500000H,14
371350000EF,14
37153000010,12
371350000CW,14
37063000025,3
37063000026,3
3707700BERE,3
37069000013,7
37035000041,9
37035000020,5
37035000037,5
37035000003,5
37035000040,5
37035000035,5
37035000025,5
3710100PR09,7
371010PR29B,7
3710100PR13,8
3710100PR34,8
3710100PR08,7
3710100PR36,7
37083000HPR,4
3710100PR20,7
37183009-02,7
3710100PR35,8
3716300PLVW,8
3708500PR31,8
37119000237,11
371190204.1,11
37119000041,9
37119000081,9
37119000133,9
37119000054,9
37119000148,10
37119000062,10
3707700BTNR,3
3707700CORI,3
3707700SOOX,3
37173ALMOND,2
3707500EAST,2
37113000015,2
3707500STEC,2
37173000BC1,2
37173000BC2,2
37099000SDC,2
37099000QUA,2
370870000IH,2
37113000003,2
37113000007,2
371050000A1,14
371050000A2,14
3708500PR01,12
37051SL78-3,12
3708500PR08,8
3712700P02A,7
3712700P23A,7
3712700P17A,7
3712700P16A,7
3712700P04A,7
3712700P11A,7
3712700P14A,7
3712700P10A,7
3712700P03A,7
37153000006,12
37057000056,11
3708300ENF1,7
3712700P13A,7
371170000GN,4
370150000RX,4
370150000WD,4
370830BUTWD,7
37185000009,7
370830LIT-2,7
37185000001,7
37131LAKE-G,7
3708300RR-3,7
37083000RRC,7
37049000011,4
37049000007,4
37049000002,4
3703100STEL,4
37049000003,4
3704900VE14,4
37147000601,4
3712700P08A,7
3707700CRDL,3
3713300JA01,6
3713300BM08,6
371330NE22A,6
3713300VR15,6
3713300HU20,6
371330NE22B,6
3713300EN03,6
37035000034,5
3717300WHCH,2
3708500PR20,8
3705100LI65,12
3708500PR28,8
37183012-02,8
3708500PR32,8
37119000203,10
37119000216,10
37119000232,10
3710900IS23,9
37161000011,5
3716100006A,2
3714900CG05,2
37191000009,7
37191000015,7
37191000010,7
37191000024,7
3710100PR04,7
37057000058,15
37057000008,15
37057000020,15
37057000052,15
37057000016,15
37067000042,15
370210064.1,2
370210009.1,2
370210057.1,2
370210031.1,2
370210055.1,2
37119000224,9
37119000050,9
37119000069,10
37119000023,9
37119000063,10
37119000104,10
37119000229,9
37119000243,9
3712700P21A,7
3712700P19A,7
37037000018,14
37125000CAR,14
37037000020,14
371050000B1,14
37183006-10,8
37037MCH110,14
37037NWM117,14
371350000WC,14
37037000085,14
371510000SE,14
37037000030,14
37119000132,9
3716100005A,5
3710900LS12,5
3710900DW28,9
37161000028,2
37161000030,2
37161000013,5
3710900TA37,9
37057000054,15
371510000TB,13
37057000074,15
37057000048,15
37057000070,15
37123000CHE,14
3712700P20A,7
3712700P24A,7
3714900WO06,2
37161000018,2
3714900CL07,2
3714900SA04,2
370890000RR,2
37057000032,15
37057000004,15
37057000076,13
371510000TR,13
370830RR-10,7
37083WEL1-2,4
370830LIT-1,7
3704900DFB9,4
3704900CFB8,4
37147001001,4
3710700000C,4
37049000017,4
370490000N2,4
37037000015,14
37037000078,14
37037ESC114,14
37037000042,14
37037000006,14
37037000045,14
37099000GCK,2
37099000CUL,2
370210013.1,2
3714700800B,4
3714701512A,4
37119000022,10
37119000207,9
37119000242,9
37119000043,10
37119000136,10
37119000211,9
37119000241,11
37017000P65,6
37017000P10,12
37119000031,9
37119000088,10
37119000230,9
37119000205,11
37025001-04,11
37119000209,9
3710100PR22,7
37119000145,11
37119000239,11
37025002-09,11
37119000094,10
37119000141,11
37119000105,11
3714900CL08,2
37035000005,5
3714701513A,4
37119000213,9
37119000093,10
371750000CM,2
371750000BD,2
371750000WC,2
371750000PF,2
37147001501,4
371750000B4,2
371750000RE,2
37119000013,10
37119000026,10
37123000UWH,11
37123000PEE,11
37123000STA,14
37125000WEM,14
371230000T1,14
37123000CAN,14
37113000002,2
37113000014,2
37113000010,2
370210030.3,2
370210030.2,2
370890000NM,2
370210071.1,2
37147000301,4
37119000220,10
37119000058,9
37119000099,10
37119000233,10
37119000009,9
37119000140,10
37119000109,10
37155000002,12
3715500032A,12
37155000023,12
37155000022,12
37155000016,12
37017000P60,12
3701700P201,12
37047000P15,12
37119000231,10
37017000P25,6
37047000P18,12
37017000P40,6
3700300LRSL,5
3700300T2T3,5
37019000006,6
37019000022,6
37019000023,6
37099000SAV,2
37113000012,2
3704300SHCR,2
3703100BFT2,4
3703100EMIS,4
3713300SW19,6
3703100BFT1,4
3703100DASW,4
3703100BOGU,4
3704700P22A,6
3704700P20A,6
3704700P01A,6
37047000P24,12
3704700P26B,6
3704700P16B,6
37047000P09,12
37047000P08,12
37023000051,5
37009000009,5
37093000063,12
37093000061,12
37155000039,12
37185000010,7
371070000K6,4
3710700000W,4
37103000P06,6
37107000PH1,6
3703100CISL,4
3703100ATSL,4
370870000EF,2
3714500PNTH,14
3708700WS-2,2
37009000020,5
37009000014,5
37009000012,5
37009000011,5
37023000014,5
37023000036,5
37023000035,5
37023000065,5
370870000AC,2
37093000062,12
37119000016,9
37069000019,3
37069000009,7
37049000020,4
371370001RB,4
3704900TE13,4
37049000019,4
37049000021,4
370490000N4,4
37049000016,4
3719500PRWB,7
3719500PRWL,7
3719500PRTO,7
3719500PRWN,7
3719500PRWJ,7
3719500PRCR,7
3719500PRSP,7
3703100MCRK,4
3703100BCRK,4
3703100WILD,4
3703100CCCP,4
3703100MERR,4
37009000004,5
37009000015,5
3700500006A,5
37193000125,5
37017000P30,6
3704700P02B,6
37047000P14,6
3703100MASM,4
3700300S1S2,5
3719500PRWQ,7
3719500PRWI,7
3719500PRTA,7
3703100MHD4,4
3710900ST36,5
37035000009,5
3716100016A,2
37111M.COVE,2
3716100004A,5
3710900LI14,5
3710900SL24,5
37161000014,5
37161000029,5
37023000052,5
37023000001,5
37009000007,5
3708700CL-S,2
3708700CL-N,2
3714500ALVI,3
3714500CUCL,14
3714500WDSD,14
370870000BC,2
37093000012,12
37171000031,15
37171000019,15
37171000023,15
3719500PRBL,7
37023000031,5
37023000021,5
37023000024,5
3701700P501,12
3702700PR33,5
3702700PR25,5
37171000029,15
37017000P15,12
3713300RL09,6
37093000013,12
37155000010,12
37155000021,12
370510G9B-1,12
37155000008,12
37155000009,12
37037PIT113,14
37037000009,14
3714701508A,4
3714701508B,4
37119000137,10
37069000015,7
37069000003,7
37069000008,7
37069000005,7
37069000016,7
37069000001,7
3700300000E,5
371510000AW,13
371510000SO,14
371510000DR,14
371510000GR,14
371510000PR,13
371510000AE,13
371570000DR,13
37161000027,2
3702700PR32,5
3702700PR21,5
37023000066,5
3702700PR22,5
37111DYSART,5
3700300000W,5
37093000064,12
3702700PR34,5
3702700PR35,5
3702700PR14,5
3701300RVRD,4
371570000MS,13
3716100009A,2
3714900GC09,2
37037000075,14
37037000024,14
37009000006,5
37023000040,5
37023000022,5
37069000018,7
37069000011,7
3710100PR37,7
3710100PR07,7
37191000003,7
3710100PR25,7
3710100PR26,7
37165005-10,12
370130AUROR,4
370130WASH4,4
371170000R2,4
371170000BG,4
3701300TCRK,4
3701300OLDF,4
370130EDWAR,4
370130BELHV,4
371170000CR,4
37147000401,4
3714701504A,4
3714701504B,4
3714701505B,4
37171000030,15
37171000005,15
3713300FS16,6
3713300HR17,6
3713300MT24,4
3714100SC13,6
3714100UH08,6
3714100SP15,6
3719500PROL,7
3712700P01A,7
3719500PRWE,7
3719500PRWM,7
3719500PRGA,7
371010PR31A,8
371010PR10A,7
371010PR10B,8
371010PR11B,8
371010PR29A,7
371010PR27A,7
371010PR27B,7
3710100PR30,7
3703300LEAS,14
37119000146,9
37119000225,9
37119000151,9
37119000065,10
37099000SCC,2
37047000P07,12
37113000013,2
37093000002,12
3715500026A,12
371070000K2,4
371570000EC,13
371570000WS,13
371510000LC,13
371510000UG,13
371570000RC,13
37115MARS-H,2
37019000005,6
37019000001,6
370830000SN,4
37099000BCK,2
37119000135,9
37119000014,10
37119000098,9
37183016-06,8
37183017-13,8
37183017-12,8
37183017-04,7
37183004-11,3
3704900N3N5,4
37155000041,12
37155000014,12
37183001-11,8
37183004-20,3
37183010-04,7
37183020-15,3
37183020-17,3
37183020-14,3
37183020-16,3
37183001-20,8
37183019-13,3
37183019-14,3
37183019-15,3
37183019-05,3
370150000M2,4
371510000AR,13
3712700P15A,7
3712700P07A,7
37083000HAL,4
37071000014,9
37071000039,9
37057000028,15
37103000P05,4
37103000P01,4
3705500STPT,4
371390NORTH,4
37057000046,15
37057000082,15
3708100MON1,13
37081000G06,13
3713900EAST,4
37183001-45,3
37183001-40,8
37071000023,9
37023000011,5
370030000B1,5
3719700BNVL,15
3719700SKNB,15
3702700PR01,5
3702700PR18,5
37057000012,15
370510G9B-2,12
37051000G9A,12
370510G3A-1,12
370510G3A-2,12
37051000G8D,12
3705100CC12,12
3705100CC14,12
3705100CC07,12
3706100ALBE,6
37019000014,6
37019000013,6
3701900010A,6
3701900010B,6
37057000088,13
37081000H15,13
37057000018,15
37057000072,15
37057000060,13
37081000H22,13
37081NCLAY2,13
3708100JEF1,13
370810NWASH,14
37081000G35,13
37167000026,11
37081000G52,13
37001000127,14
3700100012N,14
37001000013,14
3700100006E,14
37001000063,14
3719903-EGY,2
37183010-03,7
37183004-05,3
37071000021,9
37003T1T4T5,5
37183017-11,8
37183001-50,8
37183010-02,7
37183008-02,3
37183020-08,8
37183001-15,8
37183001-49,8
3705100CC33,12
3705100CC01,12
37125000PBF,12
37125000LTR,12
37125000PHC,12
37125000EAB,12
37125000PDN,12
37093000004,12
37169000017,15
37169000015,15
37169000007,15
371510000BC,13
371510000AS,13
371510000LB,14
37001000001,14
370130000HB,4
37081000H04,13
3708100JAM5,13
37169000004,15
37169000020,15
37169001819,15
37169001618,15
37095000ENG,4
37169000009,15
371370003BY,4
370510G2C-2,12
37051000G2A,12
370510G2E-2,12
37051000G2B,12
370510G2C-1,12
3705100G11B,12
37051000G2D,12
3705100CC17,12
370510G2E-1,12
370510G5A-2,12
370510G5B-1,12
370510G5A-1,12
37051000G5C,12
370510G5B-2,12
37051000G8A,12
37051000G8B,12
37051000G8C,12
3705100AH49,12
37051000G6A,12
37051000G6C,12
37051000G6B,12
37017000P70,12
3716300CLEM,12
37071000017,9
371170000R1,4
371170000HM,4
3711700000J,4
370130PINET,4
370150000MH,4
371570000HO,13
37081000FR4,13
37081000H09,13
37081000H08,13
37081000G29,13
37169000008,15
37169000013,15
37169000012,15
37081000RC2,14
37125000WAB,12
37125000WND,14
37037000003,14
37019000002,6
37189000011,5
37189000014,5
37115LAUREL,2
37001000002,14
37001000005,14
3703300ANDE,14
3703300STON,14
37001000011,14
371350000CA,14
370330000PH,14
37001000007,14
3700100008S,14
37071000025,9
37071000028,9
37071000029,9
3713704VM-A,4
3713704MSIC,4
371510000NM,13
371510000RN,13
371510000RM,14
37193000106,15
37189000005,5
37081000G61,13
37081000G48,13
37081000G50,13
37081000H01,13
37081000PG2,13
37155000035,12
37185000012,7
370130BEADM,4
37193000124,15
37171000001,15
37193000107,15
37193000128,5
37193000103,5
37193000122,15
3719700SBCK,15
370810MON2B,13
370810MON2A,13
37081000FR1,13
371150BEECH,2
370210051.2,2
371510000ST,14
37051CL57-1,12
3705100CC27,12
3705100G10C,12
3705100G10A,12
3705100G10B,12
37125000VSS,12
3712500EKWD,12
3712500WKWD,12
37125000CAM,14
37051CL57-2,12
37051000G3B,12
37051000G3C,12
3705100LR63,12
3710900HC33,5
3710900OB21,9
3710900LN11,5
3706100ROCK,6
3716300HARR,6
3706100CYCK,6
3713300CL10,6
3713300NM13,6
3706100SMCA,6
3714500SWST,14
3708700WS-1,2
3714500ROX4,14
37065001001,7
3715500018A,12
3719901-BUR,2
3719908-CRA,2
37065001203,7
37065001204,7
37065000101,4
370870000CR,2
3708700FC-2,2
3713300HN14,6
370950000BM,4
370130PANTE,4
37183004-18,3
37183001-23,8
3712700P05A,7
37081000G75,13
37081000SF1,13
37081000OR1,13
37081000G47,13
37081000G74,13
37167000010,11
37167000013,11
37167000023,11
37081000G53,13
3708100SMAD,13
37081000G65,13
37081000G51,13
37167000008,11
37167000015,11
3708100JEF2,13
37081000G72,13
371150SOUTH,2
37115WALNUT,2
37019000011,6
3701300WDPD,4
371170000W2,4
370150000W1,4
370130WASHP,4
3708100SDRI,13
37081000G64,13
3708100SUM2,13
3708100H19A,13
37081000G15,13
37081000GIB,14
37167000017,11
37159000022,11
37081NCLAY1,13
3713300TL06,6
3713300GB12,6
371570000SE,14
371570000HU,13
371570000MC,13
370890000SW,2
3708100MON3,13
371570000IR,13
37081000G44,13
37081000G67,13
37081000G32,13
37081000H03,13
370810000GR,14
3714100PL10,6
3714100UU17,6
3708700000P,2
3708700BE-1,2
3708700BE-3,2
3714500MTTZ,3
37063000028,3
370890000RG,2
370890000SE,2
3708900HV-2,2
370890000SB,2
370890000GR,2
3714500RCTL,14
37057000024,15
37057000036,15
37057000050,15
3716300AUTR,12
37179000009,10
37179000006,10
3717900020B,10
37179000043,10
37179000039,10
37179000015,10
37179000040,10
37179000008,10
3717900029C,10
3701300NCRK,4
370130SURBA,4
37045000S-C,5
3704500KM-S,9
37045GROVER,5
370450MULLS,5
370450CASAR,5
3716100010A,5
37045SHANGI,5
3704500S-4A,5
3704500LATT,5
3714100UT14,6
37067000132,15
3712900CF02,6
37129000H12,6
37129000H13,6
3712900CF01,6
37019000003,6
3714100GR06,6
3716300MING,8
37129000H11,6
37129000H10,6
37129000W27,6
37129000H08,6
37129000H02,6
3716300LAKE,12
3716300ROSE,12
37081000H28,13
3708100H29B,13
3708100H29A,13
37009000013,5
3702700PR02,5
37123000ELD,11
37057000022,15
37057000038,15
37057000006,15
37067000606,15
37067000906,15
37067000021,15
3714100CL05,6
37155000003,12
371170000GR,4
37019000018,6
37001000035,14
37001000064,14
37001000128,14
3702700PR13,5
3702700PR07,5
37023000062,5
37011000004,5
37179000012,10
37009000018,5
3703300MILT,14
3700100006N,14
