map,energy,population_deviation,estimated_vote_pct,pr_deviation,pr_seats,pr_pct,estimated_seats,estimated_seat_pct,fptp_seats,disproportionality,efficiency_gap,gamma,seats_bias,votes_bias,geometric_seats_bias,global_symmetry,declination,mean_median_statewide,mean_median_average_district,turnout_bias,lopsided_outcomes,competitive_districts,competitive_district_pct,responsiveness,responsive_districts,responsive_district_pct,overall_responsiveness,avg_dem_win_pct,avg_rep_win_pct,opportunity_districts,proportional_opportunities,coalition_districts,proportional_coalitions,reock,polsby_popper,county_splitting,district_splitting,proportionality,competitiveness,minority,compactness,splitting
000_519,1650238.993982,0.012900,0.494300,-0.010300,7,0.500000,7.144400,0.510300,8,-0.016000,-0.021700,-0.028600,-0.028100,-0.008900,-0.028100,-0.009400,-3.869400,-0.012300,-0.012500,0.000100,-0.015400,4.112600,0.293800,3.197100,4.112600,0.293800,-1.803300,0.576300,0.615400,0.000000,5,8.468200,5,0.480800,0.311900,1.275800,2.038600,95,39,50,72,13
001_520,1631161.122505,0.009000,0.494300,-0.006100,7,0.500000,7.085600,0.506100,8,-0.011800,-0.017600,-0.024900,-0.023900,-0.007600,-0.023900,-0.005700,-3.030800,-0.013400,-0.013000,-0.000400,-0.012700,4.015900,0.286900,3.288300,4.015900,0.286900,-1.069600,0.576400,0.614200,0.000000,5,8.272100,5,0.501400,0.285900,1.283000,2.110200,97,38,50,73,12
002_521,1824748.840049,0.006300,0.494300,0.043300,7,0.500000,6.393600,0.456700,7,0.037600,0.031900,0.022500,0.022200,0.005800,0.021800,0.006500,3.579300,0.010500,0.010800,-0.000300,0.003200,4.546300,0.324700,3.634700,4.546300,0.324700,7.574000,0.581600,0.592500,0.000000,5,6.759800,5,0.415500,0.288500,1.301900,2.115200,81,43,50,56,10
004_523,1844619.998331,0.011400,0.494300,0.066800,7,0.500000,6.064500,0.433200,6,0.061100,0.055400,0.050200,0.049000,0.014000,0.048300,0.013300,6.697800,0.024700,0.023100,0.001600,0.008900,3.676700,0.262600,2.902800,3.676700,0.262600,11.685600,0.599400,0.587400,0.000000,5,7.698300,5,0.425100,0.265600,1.325400,2.205800,69,35,50,56,6
005_524,1637329.640573,0.013000,0.494300,0.050800,7,0.500000,6.288600,0.449200,6,0.045100,0.039400,0.031900,0.031300,0.008600,0.030800,0.009400,4.114900,0.014300,0.013000,0.001300,0.002900,4.206500,0.300500,3.311700,4.206500,0.300500,8.886500,0.595300,0.583800,0.000000,5,7.520600,5,0.493600,0.306900,1.314100,2.147700,77,40,50,74,8
006_525,1747486.914827,0.008600,0.494300,0.068500,7,0.500000,6.040900,0.431500,6,0.062800,0.057100,0.047900,0.047400,0.012200,0.047000,0.016200,7.263900,0.013600,0.013000,0.000600,0.011300,4.666500,0.333300,3.601300,4.666500,0.333300,11.980600,0.599800,0.585900,0.000000,5,6.707100,5,0.456500,0.284300,1.330500,2.159700,69,44,50,64,5
007_526,1569288.110551,0.012300,0.494300,0.068700,7,0.500000,6.038500,0.431300,5,0.063000,0.057200,0.050500,0.049000,0.012700,0.048200,0.011400,6.039500,0.015700,0.014800,0.000900,0.007600,4.097000,0.292600,3.187200,4.097000,0.292600,12.010700,0.603400,0.567800,0.000000,5,7.758300,5,0.492300,0.365100,1.253200,2.022200,69,39,50,82,16
008_527,1648908.012476,0.008900,0.494300,0.056800,7,0.500000,6.204800,0.443200,6,0.051100,0.045400,0.037100,0.036300,0.009400,0.035700,0.008300,3.917100,0.023000,0.021900,0.001100,0.002300,4.236700,0.302600,3.450800,4.236700,0.302600,9.933000,0.580800,0.572500,0.000000,5,8.326800,5,0.512400,0.334500,1.303100,2.059200,74,40,50,80,9
009_528,1583272.078087,0.007800,0.494300,0.038600,7,0.500000,6.460200,0.461400,6,0.032800,0.027100,0.016100,0.015600,0.003800,0.015100,0.004300,1.711700,0.001600,0.001200,0.000400,-0.002100,5.003900,0.357400,3.929800,5.003900,0.357400,6.743100,0.575700,0.567400,0.000000,5,7.149900,5,0.496500,0.318000,1.297000,2.127500,84,48,50,76,10
010_530,1776330.534229,0.018800,0.494300,0.066600,7,0.500000,6.068100,0.433400,6,0.060800,0.055100,0.044300,0.042900,0.009600,0.042100,0.009600,4.952700,0.019800,0.019200,0.000600,0.005100,4.977000,0.355500,3.885900,4.977000,0.355500,11.640500,0.577800,0.569400,0.000000,5,7.591200,5,0.426400,0.267100,1.295200,2.173500,70,47,50,56,10
