GEOID,DISTRICT
370210001.1,12
370210053.1,12
370210068.1,12
370210022.2,12
370210027.2,12
370210058.1,12
370210059.1,12
37191000004,8
37191000026,8
37191002530,8
3706100CALY,8
37191000028,8
37191000002,8
370210066.1,12
37143BETHEL,11
370210044.1,12
370210024.1,12
370210048.1,12
370210038.3,12
370210036.1,12
37111FORT-1,12
37111FORT-2,12
370210060.2,12
37035000019,1
37035000006,1
37035000002,1
370230029-B,1
370230029-A,1
3710900NB35,1
37035000030,1
37035000014,1
37035000032,1
37035000001,1
370210002.1,12
37035000017,1
37035000026,1
37035000024,1
37023000012,1
37023000013,1
37023000015,1
371350000SM,3
371350000CP,3
37063000044,3
371350000HE,3
37135000ENO,3
37063000045,3
37063000050,3
37153000004,7
370210011.1,12
370210045.1,12
370210039.2,12
370210039.3,12
370210037.1,12
370210003.1,12
370210054.2,12
370210018.2,12
370890000FL,12
370210052.1,12
37035000016,1
37035000029,1
37035000012,1
37035000023,1
371050000D1,4
371050000D2,4
371050000C1,4
371050000C2,4
371350000WD,3
37135000WDS,3
37153000009,7
371050000E1,4
371050000E2,4
3708500PR23,4
3708500PR26,8
3708500PR24,4
3710100PR14,8
3708500PR25,8
3708500PR29,8
370210047.1,12
37143PARKVI,11
37143NEW-HO,11
3706100WOLF,8
370210025.1,12
370210008.3,12
370210060.4,12
370210008.2,12
370210034.1,12
3706100MAGN,6
3716300ROWA,6
3716300INGO,6
3706100BEUL,6
37107000PH2,6
3706100KENA,6
37135000CS1,3
37153000008,7
37165006-89,7
37153000005,7
37165001-16,7
37155000019,7
3703100NPT2,6
3703100NPT1,11
3703100IBSP,6
3703100MHD2,11
3703100ABCH,6
3703100MHD1,11
3708500PR07,4
3706100WALL,6
3706100ROSE,6
3706100WARS,6
3716300TURK,6
3706100FAIS,8
3716300GIDD,8
3706100GLIS,6
37165000004,7
37165000003,7
37017000P80,7
37017000P45,7
3701700P202,7
37017000P55,6
3713300BC21,6
3713300ML23,6
37103000P07,6
3713300NR02,6
37143NICANO,11
37035000013,1
371350000NS,3
371350000WW,3
37019000016,6
370190004B2,6
3701900004A,6
37129000W03,6
37129000W26,6
37019000021,6
37019000007,6
37019000017,6
37019000019,6
37019000008,6
37019000020,6
37019000015,6
37153000002,7
37153000001,7
37153000013,7
