GEOID,DISTRICT
370210001.1,1
370210053.1,1
370210068.1,1
370210022.2,1
370210027.2,1
370210058.1,1
370210059.1,1
37191000004,9
37191000026,9
37191002530,9
3706100CALY,12
37191000028,9
37191000002,9
370210066.1,1
37143BETHEL,6
370210044.1,1
370210024.1,1
370210048.1,1
370210038.3,1
370210036.1,1
37111FORT-1,1
37111FORT-2,1
370210060.2,1
37035000019,13
37035000006,13
37035000002,13
370230029-B,13
370230029-A,13
3710900NB35,13
37035000030,13
37035000014,13
37035000032,13
37035000001,13
370210002.1,1
37035000017,13
37035000026,13
37035000024,13
37023000012,13
37023000013,13
37023000015,13
371350000SM,4
371350000CP,4
37063000044,4
371350000HE,4
37135000ENO,4
37063000045,11
37063000050,4
37153000004,3
370210011.1,1
370210045.1,1
370210039.2,1
370210039.3,1
370210037.1,1
370210003.1,1
370210054.2,1
370210018.2,1
370890000FL,1
370210052.1,1
37035000016,13
37035000029,13
37035000012,13
37035000023,13
371050000D1,4
371050000D2,4
371050000C1,3
371050000C2,4
371350000WD,4
37135000WDS,4
37153000009,3
371050000E1,4
371050000E2,4
3708500PR23,7
3708500PR26,7
3708500PR24,7
3710100PR14,7
3708500PR25,7
3708500PR29,7
370210047.1,1
37143PARKVI,6
37143NEW-HO,6
3706100WOLF,12
370210025.1,1
370210008.3,1
370210060.4,1
370210008.2,1
370210034.1,1
3706100MAGN,12
3716300ROWA,12
3716300INGO,12
3706100BEUL,12
37107000PH2,12
3706100KENA,12
37135000CS1,4
37153000008,3
37165006-89,3
37153000005,3
37165001-16,3
37155000019,3
3703100NPT2,6
3703100NPT1,6
3703100IBSP,6
3703100MHD2,6
3703100ABCH,6
3703100MHD1,6
3708500PR07,3
3706100WALL,12
3706100ROSE,12
3706100WARS,12
3716300TURK,12
3706100FAIS,12
3716300GIDD,12
3706100GLIS,12
37165000004,3
37165000003,3
37017000P80,3
37017000P45,12
3701700P202,12
37017000P55,12
3713300BC21,6
3713300ML23,6
37103000P07,6
3713300NR02,12
37143NICANO,6
37035000013,13
371350000NS,4
371350000WW,4
37019000016,12
370190004B2,12
3701900004A,12
37129000W03,12
37129000W26,12
37019000021,12
37019000007,12
37019000017,12
37019000019,12
37019000008,12
37019000020,12
37019000015,12
37153000002,3
37153000001,3
37153000013,3
37165002-25,3
371350000KM,4
37035000031,8
37035000008,13
371350000LC,4
37191000013,9
37191000007,9
37191000001,9
37191001920,9
37191000029,9
37191000012,9
37057000062,14
37057000066,10
37123000LIT,4
37055000KDH,6
370550000EL,6
3705500AVON,6
3705500KTHK,6
3705500SOSH,6
370210023.3,1
370210021.1,1
370210023.2,1
370210014.3,1
370210042.1,1
370210067.1,1
370210012.1,1
370210033.3,1
37119000202,8
37119000206,8
37119000201,5
37119000097,2
37119000114,2
37119000134,2
37119000087,5
371190223.1,2
37119000011,2
37119000019,2
37119000227,5
37119000208,8
370970DV1-B,8
370970DV2-B,8
371190139.1,5
37119000236,5
371350000GB,4
371350000OG,4
3700100009S,4
371350000WH,4
3713500000H,4
371350000EF,4
37153000010,3
371350000CW,4
37063000025,4
37063000026,4
3707700BERE,11
37069000013,9
37035000041,8
37035000020,13
37035000037,13
37035000003,13
37035000040,13
37035000035,13
37035000025,13
3710100PR09,9
371010PR29B,9
3710100PR13,7
3710100PR34,7
3710100PR08,9
3710100PR36,9
37083000HPR,6
3710100PR20,9
37183009-02,9
3710100PR35,7
3716300PLVW,7
3708500PR31,7
37119000237,8
371190204.1,8
37119000041,2
37119000081,2
37119000133,8
37119000054,2
37119000148,5
37119000062,5
3707700BTNR,11
3707700CORI,11
3707700SOOX,11
37173ALMOND,1
3707500EAST,1
37113000015,1
3707500STEC,1
37173000BC1,1
37173000BC2,1
37099000SDC,1
37099000QUA,1
370870000IH,1
37113000003,1
37113000007,1
371050000A1,4
371050000A2,4
3708500PR01,3
37051SL78-3,3
3708500PR08,7
3712700P02A,9
3712700P23A,9
3712700P17A,9
3712700P16A,9
3712700P04A,9
3712700P11A,9
3712700P14A,9
3712700P10A,9
3712700P03A,9
37153000006,3
37057000056,10
3708300ENF1,9
3712700P13A,9
371170000GN,6
370150000RX,6
370150000WD,6
370830BUTWD,9
37185000009,9
370830LIT-2,9
37185000001,9
37131LAKE-G,9
3708300RR-3,9
37083000RRC,9
37049000011,6
37049000007,6
37049000002,6
3703100STEL,6
37049000003,6
3704900VE14,6
37147000601,6
3712700P08A,9
3707700CRDL,11
3713300JA01,12
3713300BM08,12
371330NE22A,12
3713300VR15,12
3713300HU20,6
371330NE22B,6
3713300EN03,12
37035000034,13
3717300WHCH,1
3708500PR20,3
3705100LI65,3
3708500PR28,7
37183012-02,7
3708500PR32,7
37119000203,5
37119000216,5
37119000232,5
3710900IS23,2
37161000011,13
3716100006A,1
3714900CG05,1
37191000009,9
37191000015,9
37191000010,9
37191000024,9
3710100PR04,9
37057000058,10
37057000008,10
37057000020,10
37057000052,10
37057000016,10
37067000042,10
370210064.1,1
370210009.1,1
370210057.1,1
370210031.1,1
370210055.1,1
37119000224,2
37119000050,2
37119000069,5
37119000023,2
37119000063,5
37119000104,5
37119000229,2
37119000243,2
3712700P21A,9
3712700P19A,9
37037000018,4
37125000CAR,4
37037000020,4
371050000B1,4
37183006-10,7
37037MCH110,4
37037NWM117,4
371350000WC,4
37037000085,4
371510000SE,4
37037000030,4
37119000132,5
3716100005A,13
3710900LS12,13
3710900DW28,2
37161000028,1
37161000030,1
37161000013,13
3710900TA37,2
37057000054,10
371510000TB,14
37057000074,10
37057000048,10
37057000070,10
37123000CHE,4
3712700P20A,9
3712700P24A,9
3714900WO06,1
37161000018,1
3714900CL07,1
3714900SA04,1
370890000RR,1
37057000032,10
37057000004,10
37057000076,14
371510000TR,14
370830RR-10,9
37083WEL1-2,9
370830LIT-1,9
3704900DFB9,6
3704900CFB8,6
37147001001,6
3710700000C,6
37049000017,6
370490000N2,6
37037000015,4
37037000078,4
37037ESC114,4
37037000042,4
37037000006,4
37037000045,4
37099000GCK,1
37099000CUL,1
370210013.1,1
3714700800B,6
3714701512A,6
37119000022,2
37119000207,8
37119000242,2
37119000043,5
37119000136,5
37119000211,2
37119000241,8
37017000P65,12
37017000P10,12
37119000031,2
37119000088,5
37119000230,2
37119000205,5
37025001-04,5
37119000209,2
3710100PR22,9
37119000145,8
37119000239,8
37025002-09,8
37119000094,5
37119000141,8
37119000105,8
3714900CL08,1
37035000005,13
3714701513A,6
37119000213,2
37119000093,5
371750000CM,1
371750000BD,1
371750000WC,1
371750000PF,1
37147001501,6
371750000B4,1
371750000RE,1
37119000013,2
37119000026,2
37123000UWH,14
37123000PEE,8
37123000STA,4
37125000WEM,4
371230000T1,14
37123000CAN,4
37113000002,1
37113000014,1
37113000010,1
370210030.3,1
370210030.2,1
370890000NM,1
370210071.1,1
37147000301,6
37119000220,5
37119000058,2
37119000099,5
37119000233,5
37119000009,2
37119000140,5
37119000109,2
37155000002,3
3715500032A,3
37155000023,3
37155000022,3
37155000016,3
37017000P60,3
3701700P201,12
37047000P15,12
37119000231,5
37017000P25,12
37047000P18,12
37017000P40,12
3700300LRSL,13
3700300T2T3,13
37019000006,12
37019000022,12
37019000023,12
37099000SAV,1
37113000012,1
3704300SHCR,1
3703100BFT2,6
3703100EMIS,6
3713300SW19,6
3703100BFT1,6
3703100DASW,6
3703100BOGU,6
3704700P22A,12
3704700P20A,12
3704700P01A,12
37047000P24,12
3704700P26B,12
