map,energy,population_deviation,estimated_vote_pct,pr_deviation,pr_seats,pr_pct,estimated_seats,estimated_seat_pct,fptp_seats,disproportionality,efficiency_gap,gamma,seats_bias,votes_bias,geometric_seats_bias,global_symmetry,declination,mean_median_statewide,mean_median_average_district,turnout_bias,lopsided_outcomes,competitive_districts,competitive_district_pct,responsiveness,responsive_districts,responsive_district_pct,overall_responsiveness,avg_dem_win_pct,avg_rep_win_pct,opportunity_districts,proportional_opportunities,coalition_districts,proportional_coalitions,reock,polsby_popper,county_splitting,district_splitting,proportionality,competitiveness,minority,compactness,splitting
000_518,1484169.179796,0.012200,0.494300,0.060100,7,0.500000,6.158000,0.439900,6,0.054400,0.048700,0.037500,0.035800,0.007800,0.035000,0.007800,3.919300,0.013800,0.013300,0.000500,0.002800,5.154800,0.368200,3.966500,5.154800,0.368200,10.517000,0.573700,0.566200,0.000000,5,7.436100,5,0.525500,0.327900,1.292900,2.072100,73,49,50,78,10
001_519,1482622.105595,0.015800,0.494300,0.041300,7,0.500000,6.421700,0.458700,7,0.035600,0.029900,0.019300,0.018500,0.004500,0.018000,0.005200,2.021400,0.003800,0.003200,0.000600,-0.001600,5.053800,0.361000,3.846300,5.053800,0.361000,7.223200,0.565500,0.578000,0.000000,5,7.591800,5,0.496400,0.318500,1.301500,2.105400,82,48,50,77,10
002_521,1463868.672166,0.007000,0.494300,0.022900,7,0.500000,6.680100,0.477100,7,0.017100,0.011400,-0.003000,-0.002600,-0.000600,-0.002700,-0.002600,-0.316700,-0.003200,-0.003600,0.000400,-0.006900,5.696800,0.406900,4.515500,5.696800,0.406900,3.996100,0.561000,0.573200,0.000000,5,8.303900,5,0.458500,0.350800,1.273800,2.050600,91,54,50,73,14
003_522,1594215.547503,0.011100,0.494300,0.052000,7,0.500000,6.271800,0.448000,7,0.046300,0.040600,0.031000,0.031100,0.008200,0.030800,0.009800,3.465900,0.000400,-0.001000,0.001400,0.001000,4.657200,0.332700,3.680400,4.657200,0.332700,9.096100,0.571700,0.585900,0.000000,5,6.883500,5,0.538400,0.359000,1.288900,2.115700,77,44,50,82,11
004_523,1619788.561426,0.011100,0.494300,0.026100,7,0.500000,6.634000,0.473900,8,0.020400,0.014700,0.000600,0.001500,0.000300,0.001600,0.003900,0.544900,-0.008600,-0.008900,0.000300,-0.004700,5.899900,0.421400,4.471900,5.899900,0.421400,4.571300,0.559700,0.593500,0.000000,5,7.660700,5,0.480200,0.314000,1.304900,2.177000,90,56,50,73,9
005_524,1472596.666278,0.003400,0.494300,0.028900,7,0.500000,6.595800,0.471100,8,0.023200,0.017400,0.000500,0.001300,0.000300,0.001200,0.001400,0.214100,-0.013500,-0.013800,0.000300,-0.005500,6.288000,0.449100,4.958100,6.288000,0.449100,5.049100,0.550700,0.581600,0.000000,5,7.481200,5,0.475400,0.357900,1.281300,1.996100,88,60,50,77,12
006_525,1458893.332466,0.016500,0.494300,0.043800,7,0.500000,6.386500,0.456200,6,0.038100,0.032400,0.021400,0.020600,0.004900,0.020000,0.005300,2.336100,0.002900,0.002700,0.000200,-0.000500,5.052800,0.360900,3.924000,5.052800,0.360900,7.662800,0.574900,0.566500,0.000000,5,6.731000,5,0.506700,0.328200,1.282500,2.090900,81,48,50,78,12
007_526,1569860.742399,0.006700,0.494300,0.055700,7,0.500000,6.219800,0.444300,7,0.050000,0.044300,0.032600,0.032100,0.007500,0.031700,0.008500,3.774400,0.001400,0.000600,0.000800,0.002300,5.286900,0.377600,4.053000,5.286900,0.377600,9.746100,0.567100,0.580000,0.000000,5,6.893400,5,0.505000,0.352800,1.271900,2.123700,75,50,50,82,14
008_527,1599715.376211,0.011200,0.494300,0.081200,7,0.500000,5.863100,0.418800,6,0.075500,0.069800,0.055600,0.054800,0.011200,0.054300,0.015800,6.388300,0.021300,0.019400,0.001900,0.007100,5.770900,0.412200,4.470700,5.770900,0.412200,14.201300,0.579300,0.572800,0.000000,5,9.075500,5,0.519700,0.330400,1.290700,2.027800,62,55,50,79,11
009_528,1658654.536646,0.007700,0.494300,0.044400,7,0.500000,6.378800,0.455600,7,0.038700,0.032900,0.024800,0.025200,0.007400,0.025100,0.010700,3.487600,0.000300,-0.000400,0.000700,0.002000,4.334700,0.309600,3.425100,4.334700,0.309600,7.759700,0.582400,0.595200,0.000000,5,6.774500,5,0.491600,0.324400,1.305600,2.156000,81,41,50,76,8
010_529,1472643.626237,0.010800,0.494300,0.035000,7,0.500000,6.510100,0.465000,7,0.029300,0.023600,0.008400,0.008500,0.001800,0.008300,0.002900,1.101000,-0.004500,-0.004700,0.000300,-0.003400,6.061400,0.433000,4.644000,6.061400,0.433000,6.119500,0.561500,0.573500,0.000000,5,7.582700,5,0.474500,0.325600,1.283800,2.089900,85,58,50,73,12
011_530,1599030.924254,0.008700,0.494300,0.054900,7,0.500000,6.231900,0.445100,7,0.049100,0.043400,0.026400,0.026500,0.005300,0.026300,0.008200,2.654200,-0.000300,-0.001800,0.001400,-0.001100,6.475800,0.462600,4.983000,6.475800,0.462600,9.594300,0.560400,0.574700,0.000000,5,7.570800,5,0.497600,0.365800,1.280700,2.072300,75,62,50,82,12
012_531,1657980.651564,0.008700,0.494300,0.037000,7,0.500000,6.481800,0.463000,7,0.031300,0.025600,0.016000,0.016300,0.004400,0.016000,0.006000,1.556300,0.006300,0.005300,0.001100,-0.003100,4.420500,0.315800,3.671800,4.420500,0.315800,6.473500,0.570600,0.584100,0.702400,5,7.681700,5,0.490300,0.342300,1.268300,2.037200,84,42,57,78,14
013_532,1459453.788574,0.010100,0.494300,0.035100,7,0.500000,6.508300,0.464900,6,0.029400,0.023700,0.009700,0.009400,0.002100,0.009200,0.003700,1.227400,-0.001900,-0.002000,0.000200,-0.003100,5.856100,0.418300,4.454700,5.856100,0.418300,6.142400,0.571800,0.564200,0.000000,5,7.567300,5,0.471500,0.326600,1.282700,2.084400,85,56,50,73,12
